Depth,Type,Keywords,Choice_Number,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21,value22,value23
0,pixel,tigger words,all,pixel,,,,,,,,,,,,,,,,,,,,,,
0,shuimo,tigger words,all,<lora:gubinxin:0.9>,chinese ink painting,,,,,,,,,,,,,,,,,,,,,
0,anime,trigger word,all,anime,,,,,,,,,,,,,,,,,,,,,,
0,realistic,trigger word,all,realistic,,,,,,,,,,,,,,,,,,,,,,
0,shuicai,tigger words,all,shuicai,scene,,,,,,,,,,,,,,,,,,,,,
1,abstract,subject,random,serene forest,geometric shapes,colorful patterns,abstract Martian landscape,ethereal clouds,whimsical creatures,flowing rivers,fractals in nature,dreamy landscapes,vibrant cityscapes,abstract waves,cosmic phenomena,kaleidoscopic visions,mystical gardens,floating islands,celestial bodies,surreal reflections,fantastical architecture,colorful mosaics,abstract emotions,,,
1,abstract,styles,random,surreal,Impressionism,impressionistic,expressionistic,cubist,futuristic,minimalist,art deco,pop art,naive art,digital art,conceptual art,geometric abstraction,color field,abstract expressionism,post-impressionism,modernism,baroque,romanticism,symbolism,,,
1,abstract,qualities,random,vivid colors,ethereal,dreamlike,high contrast,soft focus,dynamic movement,textured layers,bold patterns,subtle gradients,luminescent effects,rich detail,fluid forms,harmonious composition,striking visuals,captivating depth,radiant light,mysterious shadows,whimsical charm,oil painting,intense emotion,,,
1,abstract,colors,random,navy blue,rose red,orange,gold,emerald green,deep purple,turquoise,crimson,sunset yellow,lavender,teal,magenta,charcoal gray,peach,mint green,indigo,coral,silver,cobalt blue,burnt sienna,,,
1,abstract,lighting,1,volumetric lighting,raytracing,bloom effect,Golden hour illumination,Backlit scenes,Cinematic lighting,,,,,,,,,,,,,,,,,
2,non-abstract,colors,2,Turquoise and gold transitions,Deep blues with coral accents,Sunset oranges blending to purple,Ethereal pastels with teal undertones,,,,,,,,,,,,,,,,,,,
2,non-abstract,lighting,2,Volumetric lighting,Golden hour illumination,Backlit scenes,Cinematic lighting,,Soft studio lighting,,,,,,,,,,,,,,,,,
2,non-abstract,technical,2,HDR rendering,High resolution (8K),,Photorealistic details,Octane render,Global illumination7,,,,,,,,,,,,,,,,,
2,non-abstract,Elements,2,Misty atmospheres,Stratocumulus clouds,Organic textures,Reflective surfaces,Natural brushwork6,,,,,,,,,,,,,,,,,,
2,non-abstract,Mood,2,Serene,Atmospheric,Moody,Tranquil,Ethereal,,,,,,,,,,,,,,,,,,
2,non-abstract,Style,2,Hyper-realistic,Naturalistic,Intricate detail,Enhanced quality,Soft detailed,,,,,,,,,,,,,,,,,,
2,non-abstract,scene,1,Aurora borealis dancing over a frozen lake at midnight,Lightning storm illuminating ancient desert rock formations,Milky Way reflecting in a perfectly still mountain lake,Sunset rays piercing through storm clouds over the ocean,Rainbow forming through a desert canyon waterfall,Cherry blossom petals swirling through an empty Japanese garden,Ancient redwood forest in morning mist,Waves crashing against bioluminescent shores at night,Desert sand dunes during golden hour,Crystal ice caves illuminated by filtered sunlight,Abandoned Victorian greenhouse overtaken by flowering vines,Venetian canal during carnival with floating lanterns,Ancient temple ruins in moonlight with fireflies,Neon-lit empty streets after rain,Historic lighthouse in a raging storm,Northern lights reflecting in geometric ice formations,Crystal geodes catching rainbow light in a dark cave,Frozen bubbles on a lake surface at sunrise,Dancing aurora ribbons over volcanic landscapes,Prismatic light through morning dew on spider webs,,,
3,character_sfw,character,1,nier 2b,tifa,raiden shogun,Lara Croft,aerith,1girl,1man,,,,,,,,,,,,,,,,
3,character_sfw,facial,1,smiling,laughing,,,,,,,,,,,,,,,,,,,,,
3,character_sfw,Location,1,Forest, Beach, Cityscape, Space, Desert, Underwater, Mountain, Suburban Street, Cyber City, Village, Castle, Ruins, Sky, Cave, Garden, Fantasy Realm, Outer Space, Futuristic Lab, Wild West, Urban Alley,,,
3,character_sfw,facial,random,smiling,laughing,stoic face,,,,,,,,,,,,,,,,,,,,
3,character_sfw,accessories,random,ear rings,glasses,bracelets,hair band,flower in hair,stockings,,,,,,,,,,,,,,,,,
3,character_sfw,other,1,pet snake,pet dragon,pet Chinese Loong,patting a dog,,,,,,,,,,,,,,,,,,,
3,character_sfw,clothing,1,sports outfit,medieval armor,cyberpunk Exoskeleton,sci-fi Exoskeleton,long dress,,,,,,,,,,,,,,,,,,
3,character_sfw,background,random,intricate cinematic background,dark background,,,,,,,,,,,,,,,,,,,,,
3,character_sfw,lighting,1,volumetric lighting,raytracing,bloom effect,,,,,,,,,,,,,,,,,,,,
3,character_sfw,colors,random,holographic colors,gradient colors,,,,,,,,,,,,,,,,,,,,,
4,character_nsfw,character,1,nier 2b,tifa,raiden shogun,Lara Croft,aerith,1girl,,faceless female robot with smooth body,,,,,,,,,,,,,,,
4,character_nsfw,1girl,1,1girl,,,,,,,,,,,,,,,,,,,,,,
4,character_nsfw,pussy,1,squirt,pussy juice,wet pussy,,,,,,,,,,,,,,,,,,,,
4,character_nsfw,ass,1,big round ass,,,,,,,,,,,,,,,,,,,,,,
4,character_nsfw,clothing,1,naked,ragged clothing,partially clothed,bikini,gown,bride gown,,,,,,,,,,,,,,,,,
4,character_nsfw,camera,1,full body,focus on action,,,,,,,,,,,,,,,,,,,,,
4,character_nsfw,actions,random,masturbate,breast grabbing,seductive gaze,,,,,,,,,,,,,,,,,,,,
4,character_nsfw,facial,random,ahegao,orgasm face,smiling,looking at viewer,,,,,,,,,,,,,,,,,,,
4,character_nsfw,mouth,1,open mouth,lip biting,drooling,lip licking,,,,,,,,,,,,,,,,,,,
4,character_nsfw,eyes,1,crying,closed eyes,open eyes,happy eyes,,,,,,,,,,,,,,,,,,,
4,character_nsfw,hand,2,hand spreading pussy,hand grabbing breast,hand touching face,fingering,female masturbation,f1ngering,,,,,,,,,,,,,,,,,
4,character_nsfw,legs,1,spread legs,,,,,,,,,,,,,,,,,,,,,,
4,character_nsfw,position,1,lying,sitting,doggy style,back,,,,,,,,,,,,,,,,,,,
4,character_nsfw,Location,1,Forest, Beach, Cityscape, Space, Desert, Underwater, Mountain, Suburban Street, Cyber City, Village, Castle, Ruins, Sky, Cave, Garden, Fantasy Realm, Outer Space, Futuristic Lab, Wild West, Urban Alley,,,
4,character_nsfw,time,1,day time,at night,,,,,,,,,,,,,,,,,,,,,
4,character_nsfw,effects,random,speedlines,hearts,,,,,,,,,,,,,,,,,,,,,
4,character_nsfw,accessories,random,ear rings,glasses,bracelets,hair band,flower in hair,stockings,panty,,,,,,,,,,,,,,,,
4,character_nsfw,hair color,1,white hair,black hair,red hair,gold hair,blue hair,white and blue hair,yellow hair,,,,,,,,,,,,,,,,
5,flow,colors,random,navy blue,rose red,orange,gold,emerald green,deep purple,turquoise,crimson,sunset yellow,lavender,teal,magenta,charcoal gray,peach,mint green,indigo,coral,silver,cobalt blue,burnt sienna,,,
5,flow,patterns,random,complimentary colors creating abstract art with large color areas,thick path like patterns,small colored areas randomly appear on the canvas between large areas,,,,,,,,,,,,,,,,,,,,
5,flow,shades,random,shades and thickness of the color varies as they travel along the canvas,,,,,,,,,,,,,,,,,,,,,,
5,flow,overlay,1,water-stain like signs overlay,poured color overlay,water drops overlay,,,,,,,,,,,,,,,,,,,,
5,flow,material,1,acrylic on canvas,oil on canvas,water paint,,,,,,,,,,,,,,,,,,,,
6,temp,prompt,random,"celestial bodies, flowing rivers, kaleidoscopic visions, mystical gardens, cosmic phenomena, whimsical creatures, geometric shapes, floating islands, dreamy landscapes, abstract Martian landscape, abstract waves, vibrant cityscapes, serene forest, surreal reflections, Impressionism, baroque, romanticism, minimalist, oil painting, high contrast, mysterious shadows, intense emotion, teal, coral, indigo, sunset yellow, orange, deep purple, gold, crimson, Backlit scenes",,,,,,,,,,,,,,,,,,,,,,
7,test_portrait,cool_inspirations,1,"full color painting of nude squatting cyberpunk woman with cyberpunk-sunglasses, high heel shoes, (perfect hourglass figure),(perfect perky tits), (((Grafitti art) (by Carne Griffiths))), on a photographic red-brick wall background, insane details, intricate details, hyperdetailed, low contrast, soft cinematic light, dim colors, exposure blend, hdr, faded,(masterpiece), (best quality), (detailed)","2girls,ray tracing, (dim light), [realistic] ((detailedbackground(bedroom))),(((silver hair)), (((A long disheveled silver-haired, busty yet slender girls with a high ponytail))) are in the ominous bedroom, averting their blonde eyes, ((and the girls wear intricate embroidered blackhighslitcheongsams with pantyhose and whitefurtrimelbowgloves)), as the girls sitting in quite intimate contact each other to show off their delicate svelte figures and lissome curvaceous beauties,correct limbs",,,,,,,,,,,,,,,,,,,,,
8,test_non_portrait,cool_inspirations,1,,,,,,,,,,,,,,,,,,,,,,,
